101, 202401, 15000.0, 2024-12-11 14:23:46, USA, 192.168.1.10, USA
102, 202402, 150000.0, 2024-12-11 14:23:46, INDIA, 192.168.1.11, INDIA
103, 202403, 15023.0, 2024-12-11 14:23:46, BRAZIL, 192.168.1.12, BRAZIL
104, 202404, 32756.0, 2024-12-11 14:23:46, CHINA, 192.168.1.13, CHINA
105, 202405, 15.0, 2024-12-11 14:23:46, INDIA, 192.168.1.14, BRAZIL
106, 202406, 150.0, 2024-12-11 14:23:46, CHINA, 192.168.1.15, USA
107, 202407, 1500000.0, 2024-12-11 14:23:46, CHINA, 192.168.1.16, CHINA
108, 202408, 190.0, 2024-12-11 14:23:46, BRAZIL, 192.168.1.17, BRAZIL
109, 202409, 95000.5, 2024-12-11 14:23:46, INDIA, 192.168.1.18, INDIA
110, 202410, 95000.0, 2024-12-11 14:23:46, USA, 192.168.1.19, USA
111, 202411, 15000.0, 2024-12-11 14:23:46, BRAZIL, 192.168.1.20, BRAZIL
112, 202412, 67000.0, 2024-12-11 14:23:46, USA, 192.168.1.21, CHINA
113, 202413, 1500.0, 2024-12-11 14:23:46, INDIA, 192.168.1.22, INDIA
114, 202414, 0.5, 2024-12-11 14:23:46, USA, 192.168.1.23, USA
115, 202415, 15000.0, 2024-12-11 14:23:46, CHINA, 192.168.1.24, CHINA
116, 202416, 1500000.0, 2024-12-11 14:23:46, USA, 192.168.1.25, INDIA
